"","X","egoID","alter.initial","egoalt_relation","egoalt_relate_othr","egoalter_tie","egoalter_commfreq","alter.gender","alt.gender_othr","alter.age","alter.acad.val","alter.career.val","alter.edu","alter.edu.othr","e0102","e0103","e0203","e0104","e0204","e0304","e0105","e0205","e0305","e0405","e0106","e0206","e0306","e0406","e0506","e0107","e0207","e0307","e0407","e0507","e0607","e0108","e0208","e0308","e0408","e0508","e0608","e0708","e0109","e0209","e0309","e0409","e0509","e0609","e0709","e0809","e0110","e0210","e0310","e0410","e0510","e0610","e0710","e0810","e0910","alterID","alter.genderbi"
"1",1,1001,"ks",5,"",10,1,1,"",23,10,10,7,"",6,9,10,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100101,0
"2",2,1002,"rp",10,"othr_adults",8,3,1,"",60,10,10,8,"",10,-4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100201,0
"3",3,1005,"jh",1,"",10,1,2,"",19,8,10,5,"",10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100501,1
"5",5,1007,"bv",7,"",10,1,1,"",18,6,10,10,"in college ",NA,10,8,4,3,3,10,4,4,3,9,2,2,6,10,10,-1,10,10,10,0,9,3,3,10,10,3,10,10,4,10,10,10,0,4,-10,10,0,0,6,7,-10,0,4,0,100701,0
"6",6,1008,"ah",1,"",8,1,1,"",53,7,7,7,"",10,8,7,0,0,0,7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100801,0
"7",7,1009,"rd",1,"",10,1,1,"",52,10,10,7,"",4,10,0,3,7,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100901,0
"8",8,1012,"lg",1,"",-1,3,2,"",43,8,6,8,"",1,5,5,5,6,6,7,7,7,7,7,6,6,6,6,6,6,6,2,2,-1,-5,-9,-9,-9,-8,-9,-8,-9,-9,-8,-9,-9,-9,-8,-9,-7,-9,-9,-8,-9,-9,-9,-9,-9,101201,1
"9",9,1014,"ab",1,"parentfig",10,2,1,"",54,10,10,7,"",10,-5,-5,10,-2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101401,0
"11",11,1018,"mb",1,"",10,1,1,"",43,8,8,8,"",10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101801,0
"12",12,1019,"js",1,"",10,1,1,"",47,10,10,7,"",10,10,10,10,4,1,10,10,10,7,7,2,1,-4,10,10,10,10,10,10,10,10,0,0,5,0,0,0,10,3,1,-1,2,1,1,1,6,1,0,1,2,2,2,2,1,101901,0
"13",13,1020,"tp",1,"",10,1,1,"",57,10,10,5,"",NA,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102001,0
"14",14,1023,"rs",1,"",10,1,1,"",47,9,9,7,"",10,8,5,8,0,5,10,5,6,0,6,3,7,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102301,0
"15",15,1025,"mm",3,"",10,2,1,"",27,8,9,7,"",10,10,7,5,5,4,0,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102501,0
"16",16,1027,"db",3,"",10,2,2,"",26,10,10,3,"",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102701,1
"17",17,1028,"ha",1,"",10,1,1,"",46,10,10,7,"",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102801,0
"18",18,1029,"ng",1,"",10,1,1,"",41,10,10,9,"",10,8,10,10,10,7,8,8,8,8,10,10,8,10,10,10,10,8,10,8,10,10,10,8,10,10,7,10,10,10,8,10,10,10,10,8,0,0,0,0,0,0,0,10,0,102901,0
"19",19,1030,"mh",1,"",10,1,1,"",41,10,10,5,"",-4,2,10,10,-4,2,10,2,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103001,0
"20",20,1031,"km",1,"",10,2,1,"",40,10,10,10,"N/A",10,10,10,10,10,10,10,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103101,0
"21",21,1032,"cp",8,"academic",8,6,2,"",NA,8,6,10,"n/a",2,0,0,6,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103201,1
"22",22,1034,"mf",1,"",10,1,1,"",41,5,10,5,"",-8,-6,10,6,9,1,0,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103401,0
"23",23,1038,"ht",5,"",10,1,2,"",19,10,10,5,"",8,6,10,7,7,5,NA,NA,NA,6,NA,NA,NA,6,NA,NA,NA,NA,2,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,5,6,10,NA,NA,NA,NA,NA,103801,1
"24",24,1039,"nh",1,"",10,1,1,"",50,6,4,5,"",10,10,5,10,6,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103901,0
"25",25,1040,"madison",3,"",8,2,1,"",22,9,9,7,"",4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104001,0
"26",26,1041,"dh",1,"",10,1,2,"",49,10,6,7,"",10,10,10,10,8,8,10,8,10,10,7,10,10,5,5,7,10,10,6,6,10,0,2,0,0,0,0,0,2,3,0,0,0,0,0,0,3,4,0,0,0,0,0,0,10,104101,1
"27",27,1043,"jj",1,"",10,1,1,"",44,10,10,7,"",NA,10,10,10,10,10,0,0,8,0,4,10,9,9,0,8,10,4,4,0,10,0,0,8,0,0,0,0,0,0,10,0,0,0,0,0,10,10,3,1,0,7,8,0,0,104301,0
"28",28,1045,"jj",1,"",8,2,1,"",42,7,7,4,"",1,1,0,2,0,0,6,0,0,1,9,0,0,0,0,2,7,0,0,0,0,10,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104501,0
"29",29,1046,"sh",1,"",10,1,1,"",46,10,10,4,"",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104601,0
"30",30,1049,"mb",3,"",9,1,1,"",21,10,10,5,"",6,7,10,7,9,-2,7,6,6,6,0,6,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104901,0
"31",31,1051,"ea",1,"",10,1,1,"",50,10,10,6,"",10,10,10,0,0,0,10,0,0,0,10,10,10,0,10,NA,NA,-10,0,0,0,NA,NA,NA,0,0,-3,0,NA,NA,NA,0,0,-1,0,10,0,0,0,0,0,0,0,0,0,105101,0
"33",33,1054,"st",1,"",10,1,1,"",45,10,10,7,"",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105401,0
"34",34,1055,"dc",3,"",8,1,1,"",25,8,8,7,"",10,10,10,10,7,7,10,10,10,5,10,10,10,7,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105501,0
"35",35,1056,"ms",1,"",10,1,2,"",45,8,10,6,"",NA,5,8,0,0,0,1,0,0,0,10,8,0,0,7,0,0,0,0,0,0,0,0,0,6,0,0,0,10,10,5,0,0,0,0,0,10,10,0,0,0,0,0,0,0,105601,1
"36",36,1058,"ml",3,"",10,1,1,"",21,10,10,5,"",8,0,0,6,0,5,0,0,0,0,-4,-4,4,8,0,7,7,0,6,0,5,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,105801,0
"37",37,1060,"ms",1,"",10,1,1,"",37,10,10,5,"",10,10,10,10,10,10,10,10,10,10,8,8,8,8,10,0,0,0,0,10,0,10,10,10,10,10,10,0,10,10,10,10,10,10,0,10,0,0,0,0,10,0,10,0,0,106001,0
"39",39,1062,"mp",1,"",10,1,1,"",52,10,10,8,"",10,8,9,10,10,10,4,-4,3,-10,10,10,10,10,-3,10,10,10,10,-1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,10,10,106201,0
"40",40,1063,"jh ",1,"",10,1,1,"",53,10,10,6,"",NA,10,10,10,10,10,10,10,10,10,10,10,10,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106301,0
"41",41,1064,"sl",6,"",10,1,1,"",19,10,10,3,"",4,0,10,0,10,8,0,8,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106401,0
"42",42,1065,"cr",1,"",10,2,1,"",50,8,10,8,"",NA,7,7,9,9,10,6,6,4,4,10,10,0,0,1,10,10,3,10,0,0,5,5,5,4,-5,0,8,3,3,5,4,0,0,7,10,10,10,6,4,0,9,8,7,10,106501,0
"43",43,1067,"lh",1,"",10,3,1,"",41,10,10,5,"",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106701,0
"44",44,1068,"va",1,"",10,1,1,"",50,10,10,8,"",10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106801,0
"45",45,1069,"tf",1,"",10,1,1,"",51,10,10,7,"",10,0,0,10,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106901,0
"46",46,1071,"jo",1,"",10,2,1,"",61,10,10,8,"",10,10,10,10,10,10,0,0,0,0,4,3,0,0,0,10,10,10,10,0,0,10,10,10,10,0,0,10,10,9,10,9,0,0,10,10,9,8,8,8,0,0,10,10,10,107101,0
"47",47,1073,"si",1,"",10,1,1,"",37,10,10,6,"",NA,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,NA,10,10,10,10,10,10,10,10,10,10,10,9,8,9,9,9,9,10,9,10,107301,0
"48",48,1075,"ra",1,"",7,2,1,"",63,8,8,4,"",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107501,0
"49",49,1077,"ar",7,"",10,1,1,"",20,8,7,5,"",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107701,0
"51",51,1079,"mr",1,"",10,1,1,"",42,10,10,8,"",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107901,0
"52",52,1081,"cl",1,"",8,1,1,"",51,9,8,8,"",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108101,0
"53",53,1082,"aw",5,"",10,1,1,"",23,10,10,5,"",2,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108201,0
"54",54,1084,"tm",1,"",10,1,1,"",46,10,10,8,"",10,10,8,10,10,8,10,10,8,7,7,5,1,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108401,0
"55",55,1085,"st",1,"",10,1,1,"",45,10,10,7,"",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108501,0
"56",56,1087,"ph",1,"",10,1,2,"",53,10,10,8,"",NA,10,10,6,6,4,8,8,3,8,2,2,0,10,8,5,5,2,5,8,-2,10,10,10,3,2,0,1,6,6,4,9,8,7,8,1,7,7,2,6,4,1,5,1,8,108701,1
"57",57,1088,"jb",1,"",8,1,1,"",54,10,10,5,"",-5,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108801,0
"60",60,1093,"vg",8,"academic",10,4,1,"",60,10,10,8,"",3,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109301,0
"61",61,1094,"tp",3,"",10,1,2,"",25,10,10,7,"",NA,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,109401,1
"62",62,1095,"kj",1,"",10,2,1,"",41,10,7,7,"",10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109501,0
"63",63,1096,"mt",8,"academic",-1,5,1,"",45,7,8,8,"",8,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109601,0
"64",64,1097,"ma",3,"",8,1,1,"",24,9,10,7,"",6,9,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109701,0
"65",65,1100,"jmm",1,"",6,2,1,"",44,9,10,5,"",-1,4,7,0,7,7,0,0,0,0,6,6,0,5,0,6,5,7,3,0,0,7,8,7,2,0,0,6,8,7,6,0,0,0,7,7,6,8,10,0,0,0,8,8,3,110001,0
"67",67,1102,"tka",1,"",8,1,1,"",48,4,10,7,"",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110201,0
"68",68,1103,"cn",5,"",10,1,2,"",19,10,10,5,"",8,5,10,3,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110301,1
"69",69,1107,"kn",1,"",8,1,1,"",49,10,10,4,"",-10,0,0,0,0,10,10,0,0,0,8,5,6,4,0,2,5,0,0,0,0,3,4,0,-1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110701,0
"70",70,1108,"lr",1,"",10,1,1,"",53,10,10,5,"",NA,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110801,0
"72",72,1118,"mm",8,"academic",-2,6,2,"",40,5,10,8,"",-3,-4,10,0,0,0,-2,6,8,0,3,0,0,0,9,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,10,0,0,0,6,0,0,0,0,0,111801,1
"73",73,1121,"km",1,"",10,1,1,"",NA,9,10,10,"",NA,10,10,10,10,10,8,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112101,0
"74",74,1122,"ba",1,"",4,1,1,"",40,4,4,7,"",-10,NA,6,4,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112201,0
"75",75,1126,"rt",1,"",10,1,1,"",56,10,10,8,"",10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112601,0
"76",76,1130,"sf",1,"",10,1,1,"",51,10,10,7,"",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113001,0
