"","X","egoID","alter.initial","egoalt_relation","egoalt_relate_othr","egoalter_tie","egoalter_commfreq","alter.gender","alt.gender_othr","alter.age","alter.acad.val","alter.career.val","alter.edu","alter.edu.othr","e0102","e0103","e0203","e0104","e0204","e0304","e0105","e0205","e0305","e0405","e0106","e0206","e0306","e0406","e0506","e0107","e0207","e0307","e0407","e0507","e0607","e0108","e0208","e0308","e0408","e0508","e0608","e0708","e0109","e0209","e0309","e0409","e0509","e0609","e0709","e0809","e0110","e0210","e0310","e0410","e0510","e0610","e0710","e0810","e0910","alterID","alter.genderbi"
"5073",5073,1393,"scott",1,"",8,1,2,"",50,6,10,3,"",10,4,9,0,0,0,10,3,2,0,10,7,5,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139306,1
"5074",5074,1394,"ca",3,"",10,2,2,"",22,8,8,7,"",10,4,3,4,4,9,2,0,0,0,10,10,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139406,1
"5078",5078,1414,"ct",4,"",10,2,1,"",68,10,10,8,"",NA,4,4,2,2,10,0,0,10,10,10,10,5,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141406,0
"5079",5079,1416,"ho",7,"",3,3,1,"",28,6,8,7,"",0,0,0,0,0,0,0,1,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141606,0
"5081",5081,1419,"mv",4,"",10,6,2,"",999,10,10,7,"",0,0,10,0,6,0,0,7,1,10,0,10,10,0,0,0,8,9,0,0,10,4,6,8,0,0,0,3,0,10,10,0,0,10,10,0,0,9,9,0,2,7,4,0,6,141906,1
"5086",5086,1425,"sa",8,"academic",9,5,1,"",30,10,10,8,"",3,0,4,0,3,3,0,0,0,-3,2,2,2,0,0,10,8,6,6,-4,7,0,0,0,0,0,0,10,0,0,0,0,-2,0,7,3,4,2,0,0,3,-2,5,-2,0,142506,0
"5087",5087,1426,"kl",3,"",8,3,1,"",32,10,10,5,"",10,10,10,6,6,6,7,7,5,6,5,5,5,3,3,4,2,0,5,4,8,4,4,4,3,3,0,0,7,5,3,3,4,0,0,3,6,6,6,2,2,2,0,1,0,142606,0
"5091",5091,1432,"cb",3,"",10,2,1,"",22,8,8,5,"",10,8,9,5,5,10,4,6,10,10,10,10,5,1,0,10,10,5,4,2,10,10,10,10,3,3,7,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143206,0
"5098",5098,1441,"ao",11,"work",10,3,2,"",46,10,10,7,"",0,0,4,0,2,10,0,0,5,5,0,0,0,0,0,0,0,0,0,0,5,0,5,9,9,9,0,0,0,10,9,9,10,0,0,10,0,10,9,9,0,0,0,10,10,144106,1
"5100",5100,1450,"af",4,"",10,1,1,"",20,10,10,7,"",10,10,10,4,4,10,10,10,10,3,10,10,10,10,10,0,0,10,10,3,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145006,0
"5101",5101,1451,"p.z.",3,"",10,2,2,"",33,10,10,4,"",10,10,10,10,10,8,10,8,7,7,10,10,7,8,7,7,7,10,6,9,5,0,0,0,0,0,0,0,10,10,10,10,10,10,9,0,2,2,3,2,1,2,1,0,7,145106,1
"5108",5108,1460,"me",7,"",10,1,2,"",20,10,10,5,"",NA,-10,NA,NA,NA,NA,NA,-10,-10,8,10,4,4,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146006,1
"5109",5109,1462,"bm",5,"",10,1,2,"",20,10,10,7,"",10,10,9,10,10,10,10,10,10,10,10,10,10,10,8,8,8,8,8,8,8,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,7,10,9,9,10,10,2,146206,1
"5115",5115,1470,"ll",5,"",10,1,1,"",19,10,6,5,"",9,6,3,7,5,5,2,1,4,-10,10,10,0,10,0,8,4,0,2,0,5,5,7,2,3,5,6,6,0,0,0,0,0,3,0,-3,4,-2,-3,7,3,0,0,0,0,147006,0
"5120",5120,1479,"eb ",6,"",2,1,1,"",19,10,10,5,"",10,0,0,8,0,8,10,10,0,10,9,9,9,9,9,10,10,0,0,5,10,10,8,0,0,0,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147906,0
"5122",5122,1481,"b.s",1,"parentfig",10,2,1,"",75,10,10,7,"",-10,10,0,10,-7,10,10,7,9,10,10,4,7,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148106,0
"5123",5123,1483,"s.e",8,"academic",10,5,1,"",NA,10,9,7,"",7,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,10,-4,7,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148306,0
"5126",5126,1487,"lh",6,"",10,3,1,"",18,10,10,5,"",7,10,10,10,10,10,10,10,0,10,10,4,10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148706,0
"5131",5131,1495,"jh",3,"",3,3,1,"",36,10,10,7,"",9,9,5,6,9,10,2,6,0,0,6,3,10,2,0,9,1,10,3,0,8,10,0,10,0,0,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149506,0
