"","egoID","alter.initial","egoalt_relation","egoalt_relate_othr","egoalter_tie","egoalter_commfreq","alter.gender","alt.gender_othr","alter.age","alter.acad.val","alter.career.val","alter.edu","alter.edu.othr","e0102","e0103","e0203","e0104","e0204","e0304","e0105","e0205","e0305","e0405","e0106","e0206","e0306","e0406","e0506","e0107","e0207","e0307","e0407","e0507","e0607","e0108","e0208","e0308","e0408","e0508","e0608","e0708","e0109","e0209","e0309","e0409","e0509","e0609","e0709","e0809","e0110","e0210","e0310","e0410","e0510","e0610","e0710","e0810","e0910","alterID","alter.genderbi"
"717",2249,"kd","1","",10,1,"1","",45,10,10,8,"","","6","0","6","0","9","0","0","0","0","10","7","0","0","5","6","6","3","0","3","6","7","7","0","0","7","7","6","10","10","0","0","10","9","5","0","8","9","0","0","6","5","0","0","0","224901",0
"718",2250,"mom","1","",10,1,"1","",38,5,5,5,"","2","10","2","6","0","0","4","1","0","7","10","0","10","0","1","10","10","10","","","1","4","0","0","0","0","3","4","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","225001",0
"719",2251,"rr","1","",6,1,"1","",50,10,9,4,"","-5","6","-9","9","7","0","8","7","7","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","225101",0
"720",2253,"cn","12","church",8,2,"2","",36,9,5,4,"","0","2","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","225301",1
"721",2254,"mg","6","",2,1,"2","",18,5,2,4,"","10","6","10","5","6","10","8","8","9","8","6","6","7","6","9","5","7","7","5","7","5","7","6","5","7","6","7","6","7","9","9","6","9","8","7","9","8","9","8","8","7","5","6","8","8","225401",1
"722",2255,"j.c","1","",7,2,"2","",49,10,10,1,"","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","225501",1
"723",2260,"hm","6","",10,1,"1","",19,8,9,5,"","","7","4","8","8","4","8","4","-6","10","5","5","0","10","10","2","0","0","10","10","10","1","0","0","10","10","10","10","10","10","-7","4","2","2","-5","-5","10","-8","9","10","","3","5","10","0","226001",0
"724",2261,"vj","4","",10,1,"2","",73,10,10,8,"","","9","9","","","","8","9","9","","8","9","9","","9","","","","","","","","","","","","","","8","7","0","1","2","1","1","0","5","2","1","6","0","6","1","1","0","226101",1
"725",2265,"mom","1","",10,1,"1","",45,9,10,5,"","10","4","0","6","6","7","4","0","0","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","226501",0
"726",2266,"mom","1","",8,2,"1","",37,10,10,6,"","-6","3","-1","5","-1","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","226601",0
"727",2269,"cp","1","",10,1,"1","",48,10,10,9,"","","10","10","8","7","6","10","8","4","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","226901",0
"728",2270,"jm","1","",-8,2,"1","",59,8,6,4,"","3","0","0","0","0","-2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","227001",0
"729",2271,"jj","1","",10,2,"1","",36,10,10,4,"","","10","9","10","7","9","10","6","10","6","10","7","7","10","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","227101",0
"730",2274,"jmc","6","",10,1,"1","",19,4,4,4,"","2","0","2","0","1","10","3","3","10","5","0","2","10","4","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","227401",0
"731",2277,"ea","1","",10,1,"1","",47,4,4,7,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","227701",0
"732",2278,"vq","6","",NA,1,"1","",19,10,10,4,"","","10","10","10","10","10","0","","","","10","10","10","10","10","0","10","10","0","10","10","10","10","5","4","-2","8","10","10","1","2","1","1","1","1","1","0","0","0","0","0","0","0","0","0","227801",0
"733",2279,"kla","1","",9,1,"1","",40,10,10,7,"","7","10","7","6","8","4","7","9","5","9","9","7","7","0","0","1","1","2","1","2","1","8","9","10","7","7","0","0","9","9","10","7","7","0","0","10","5","4","2","4","6","0","-8","-7","-7","227901",0
"734",2284,"lj","1","",10,2,"1","",45,10,10,8,"","5","0","5","10","0","0","10","6","0","4","2","0","4","0","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","228401",0
"735",2285,"mom","1","",10,1,"1","",50,10,10,6,"","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","228501",0
