"","egoID","Q94_1","Q94_2","Q94_3","Q94_4","Q94_5","Q94_6","Q96_1","Q96_2","Q96_3","Q96_4","Q96_5","Q96_6","Q98_1","Q98_2","Q98_3","Q98_4","Q98_5","Q98_6","Q100_1","Q100_2","Q100_3","Q100_4","Q100_5","Q100_6","Q102_1","Q102_2","Q102_3","Q102_4","ego.careerval","ego.acadval","ego.gender","ego.race","ego.workhours","ego.studentorg","ego.belong","ego.age","ego.year","ext_reg","int_toknow","ext_iden","int_stim","amotiv","int_accomp","ext_intro","ego.genderbi","ego.racetri","mean.clo","mean.comm","mean.careerval","mean.acadval","mean.edu","alt.edudiverse","alt.type","alt.age","alt.agesd","alt.female","alt.male","alt.genratio"
"438",1762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,1.4,10,10,8,3,4,53.8,19.7281524730523,1,4,0.25
"439",1763,5,5,5,4,1,2,5,5,4,5,4,1,4,3,5,5,5,4,1,5,4,5,5,5,4,1,3,4,10,10,1,1,5,1,5,5,1,5,4.75,5,4,1,3.5,4,0,1,10,1,10,10,8.66666666666667,2,3,43,17.4355957741627,1,0,Inf
"440",1764,2,5,5,4,1,5,5,5,5,5,3,1,5,3,5,5,4,3,1,5,3,4,5,3,3,1,5,4,10,7,2,2,25,3,4,9,3,4,5,4.25,3.25,1,5,3.75,1,2,8.75,2.25,7.75,7,6.25,3,4,29.5,11.6761865920913,3,1,3
"441",1766,4,3,4,2,3,2,3,4,2,4,2,4,2,2,4,2,4,2,3,2,3,4,3,4,2,3,2,3,9,7,1,1,25,1,2,8,4,4,2.5,4,2,3.25,2,2.75,0,1,8.83333333333333,1.66666666666667,8.66666666666667,9.16666666666667,7.16666666666667,3,5,37.8333333333333,12.4485608271264,2,4,0.5
"442",1770,3,2,2,3,1,1,2,3,1,3,1,1,2,3,3,1,3,3,1,2,2,3,1,1,1,1,1,3,10,10,2,2,0,3,3,5,2,3,1.25,2.25,2,1,1.5,2.5,1,2,10,2,10,10,8,1,2,52,1.4142135623731,1,1,1
"443",1771,1,2,3,4,3,3,3,4,3,2,3,4,1,2,3,1,3,4,3,4,3,2,4,3,5,4,3,2,8,7,1,2,20,2,4,4,1,2.5,2.5,2.75,4,3.5,2.75,2.5,0,2,9.5,1.8,9.8,9.6,4.1,5,4,33,22.9782505861521,3,7,0.428571428571429
"444",1772,4,3,4,2,4,3,2,4,3,4,2,3,3,2,4,3,4,2,2,2,2,4,2,3,2,3,3,3,8,2,2,1,15,1,4,5,1,4,2.75,3.75,2,3,2.75,2.25,1,1,5,2,8.5,5.25,5.5,3,3,34.75,21.3287755547914,2,2,1
"445",1774,5,1,5,2,3,2,2,5,1,5,1,1,3,3,4,2,4,1,1,2,2,5,2,3,1,1,4,3,10,6,1,1,12,1,5,4,1,4.75,1.5,4.25,1.25,1.5,2.75,2.5,0,1,9,1.6,8.4,6.6,7.2,2,4,48,19.6596032513375,2,3,0.666666666666667
"446",1775,5,3,5,4,2,3,5,5,5,5,2,1,5,5,5,5,5,1,1,5,5,5,5,5,1,1,5,5,10,10,1,1,20,3,2,4,1,5,4.5,5,2,1.25,4.5,5,0,1,9.9,3.5,10,9.9,6.8,4,3,39.7,12.1018823145639,2,8,0.25
"447",1776,4,4,5,2,1,2,4,5,3,5,1,1,2,3,4,2,4,2,1,3,2,4,4,4,1,1,4,3,10,10,1,1,30,2,4,4,1,4.25,3.25,4.5,1.5,1,2.75,3,0,1,10,1.75,9.4,9.2,6.2,2,5,231,429.467693779171,4,1,4
"448",1778,4,5,5,2,1,4,4,5,3,5,2,1,4,1,4,5,3,1,1,4,1,4,4,1,3,1,3,4,10,5,2,1,20,3,2,4,1,4.25,4.25,3.5,2,1,3.75,2.5,1,1,7.25,2,7.5,6.75,5,4,5,27.25,13.7931142241337,3,1,3
"449",1781,5,3,5,1,1,3,5,5,2,5,1,1,3,4,5,3,2,2,1,4,5,5,4,3,3,1,3,5,10,10,2,1,0,1,3,4,1,5,3,3.75,1.75,1,3.25,4.75,1,1,10,1.66666666666667,10,8.66666666666667,3.33333333333333,3,3,36.6666666666667,12.7410099024109,1,2,0.5
"450",1783,5,3,5,2,3,2,5,5,3,5,2,4,5,5,5,3,5,1,2,4,5,5,4,5,1,2,3,5,10,10,1,1,10,1,4,4,1,5,3.25,5,1.5,2.75,3.5,5,0,1,4.75,3.25,10,10,6.75,3,4,52,16.7132681822956,1,3,0.333333333333333
"451",1784,5,3,5,2,2,2,5,5,2,5,1,2,4,5,5,2,5,1,2,5,5,5,2,5,1,2,2,5,10,10,1,1,10,1,3,4,1,5,2.25,5,1.25,2,3.25,5,0,1,4.25,3.25,9.5,9.5,7,1,4,52,16.7132681822956,1,3,0.333333333333333
"452",1785,3,2,4,4,4,2,5,5,3,5,1,2,4,4,2,3,4,1,1,3,2,5,5,3,1,2,4,4,10,8,2,1,27,1,4,4,1,3.75,3.25,4,1.75,2.25,3.25,3.75,1,1,6.7,2.1,6.8,5.7,5.8,3,4,28.1111111111111,11.9210364948318,6,4,1.5
"453",1811,4,3,4,3,3,4,4,5,3,5,2,3,4,4,5,3,4,2,1,4,5,5,3,4,3,2,4,4,8,8,1,1,20,2,4,4,1,4.75,3,4.25,2.5,2.25,4,4.25,0,1,10,2,8.66666666666667,8,6,2,3,49.3333333333333,9.23760430703401,1,2,0.5
