"","egoID","Q94_1","Q94_2","Q94_3","Q94_4","Q94_5","Q94_6","Q96_1","Q96_2","Q96_3","Q96_4","Q96_5","Q96_6","Q98_1","Q98_2","Q98_3","Q98_4","Q98_5","Q98_6","Q100_1","Q100_2","Q100_3","Q100_4","Q100_5","Q100_6","Q102_1","Q102_2","Q102_3","Q102_4","ego.careerval","ego.acadval","ego.gender","ego.race","ego.workhours","ego.studentorg","ego.belong","ego.age","ego.year","ext_reg","int_toknow","ext_iden","int_stim","amotiv","int_accomp","ext_intro","ego.genderbi","ego.racetri","mean.clo","mean.comm","mean.careerval","mean.acadval","mean.edu","alt.edudiverse","alt.type","alt.age","alt.agesd","alt.female","alt.male","alt.genratio","ego.ager","mean.eigen","dens","mean.deg","mean.bet","deg.centr","alter.aca.value.avg","alter.career.value.avg","density","gendersim","agediver","belong_cat"
"52",1088,3,4,4,4,2,4,4,5,4,4,4,2,5,4,5,5,5,5,1,3,3,4,5,5,4,1,4,4,10,10,2,2,25,3,4,NA,NA,4.25,4.5,4.5,4.25,1.5,4,3.75,1,2,6,2,10,8,5,1,3,43,19.0525588832576,1,2,0.5,NA,0.766622455746454,0.666666666666667,1.33333333333333,0.333333333333333,0.333333333333333,8,10,0.666666666666667,0.333333333333333,0.918295834054489,1
"53",1092,5,5,4,4,3,4,5,5,5,5,5,5,3,3,4,3,4,3,3,4,4,4,3,4,4,4,3,3,10,10,1,1,32,1,4,NA,NA,4.5,4,4.25,4,3.75,3.5,3.75,0,1,8.7,2.4,8.5,8.7,6.5,6,5,43.125,21.1081399329399,4,6,0.666666666666667,NA,0.5,0.333333333333333,1,0,0,8.75,9.25,0.333333333333333,-0.5,2,1
"54",1093,5,4,5,3,1,4,4,5,4,5,3,1,4,4,5,5,4,3,1,4,5,5,4,4,4,1,4,5,10,8,1,1,40,3,5,NA,NA,5,4.25,4.5,3.25,1,4,4.5,0,1,9.5,2.25,9.25,7.75,6.5,4,4,35.5,16.4215305823381,0,4,0,NA,1,1,1,0,0,9.5,9,1,-1,1,1
"55",1094,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,2,6,0,3,4,NA,NA,3,3,3,3,3,3,3,1,3,10,1.5,10,10,5.2,4,3,28.7,12.8931506364167,6,4,1.5,NA,0.981507290636732,0.977777777777778,8.8,0.1,0.0222222222222222,10,10,0.977777777777778,-0.2,1.96096404744368,1
"56",1095,4,3,5,2,2,4,4,4,5,5,3,1,4,5,5,5,5,3,1,2,5,5,4,4,2,1,3,5,10,10,1,1,10,1,4,NA,NA,4.5,4.25,4.75,2.5,1.25,3.25,4.75,0,1,10,1.66666666666667,7.66666666666667,8.33333333333333,6.66666666666667,3,3,35.6666666666667,12.8582010146573,1,2,0.5,NA,1,1,1,0,0,10,8,1,0,1,1
"57",1096,5,3,5,2,3,4,5,5,3,4,1,2,4,5,5,3,2,4,1,2,4,4,4,5,4,1,5,4,10,10,2,1,20,1,4,NA,NA,4.75,3.25,4,2.75,1.75,3.75,4.5,1,1,5,2.66666666666667,9.33333333333333,8,6.33333333333333,3,4,38.3333333333333,17.0098010962308,1,2,0.5,NA,0.804737854124365,0.666666666666667,1.33333333333333,0.333333333333333,0.333333333333333,8,9.33333333333333,0.666666666666667,0.333333333333333,1.58496250072116,1
"58",1097,5,4,5,4,1,4,4,5,4,5,2,1,4,3,5,4,5,2,1,4,4,5,4,1,1,1,4,4,8,7,2,1,20,1,4,NA,NA,5,4,4,2.25,1,4,3.75,1,1,8.75,1.75,9.25,8.75,6.5,2,4,33.5,17.5973482850873,1,3,0.333333333333333,NA,0.950260353119404,1,2,0,0,8.33333333333333,9,1,1,1.58496250072116,1
"59",1100,4,5,5,4,2,4,4,5,4,5,2,3,4,2,5,5,4,1,1,2,4,5,5,5,4,1,3,4,10,9,1,1,40,1,5,NA,NA,4.75,4.75,4.75,2.75,1.75,3.25,3.5,0,1,7.4,2.4,7.8,7.6,5.6,3,5,44.8,23.7524267766007,3,7,0.428571428571429,NA,0.797228814118933,0.75,6,1.22222222222222,0.125,7.66666666666667,7.77777777777778,0.75,-0.333333333333333,2.72548055699787,1
"60",1102,2,3,5,2,4,2,5,5,3,2,1,4,2,2,5,4,2,1,3,2,5,5,4,4,1,4,3,4,10,4,1,1,45,1,4,NA,NA,4.25,3.5,3.25,1.25,3.75,2.25,4,0,1,9,1,10,5.5,6,2,2,48,0,1,1,1,NA,1,1,1,0,0,5.5,10,1,0,0,1
"61",1103,4,3,5,4,1,4,5,5,4,5,1,1,5,4,4,4,5,1,1,5,3,5,5,2,1,1,4,5,4,2,1,2,10,3,2,NA,NA,4.5,4,4.25,1.75,1,4.5,4.25,0,2,10,1.25,10,9.75,5.75,3,4,34,14.094916341244,2,2,1,NA,0.874185930256372,1,3,0.25,0,9.75,10,1,0,2,0
