"","egoID","alter.initial","egoalt_relation","egoalt_relate_othr","egoalter_tie","egoalter_commfreq","alter.gender","alt.gender_othr","alter.age","alter.acad.val","alter.career.val","alter.edu","alter.edu.othr","e0102","e0103","e0203","e0104","e0204","e0304","e0105","e0205","e0305","e0405","e0106","e0206","e0306","e0406","e0506","e0107","e0207","e0307","e0407","e0507","e0607","e0108","e0208","e0308","e0408","e0508","e0608","e0708","e0109","e0209","e0309","e0409","e0509","e0609","e0709","e0809","e0110","e0210","e0310","e0410","e0510","e0610","e0710","e0810","e0910","alterID","alter.genderbi"
"28",1045,"jj","1","",8,2,"1","",42,7,7,4,"","1","1","0","2","0","0","6","0","0","1","9","0","0","0","0","2","7","0","0","0","0","10","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","104501",0
"29",1046,"sh","1","",10,1,"1","",46,10,10,4,"","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","8","","","","","","","","","","","","","","","","","","104601",0
"30",1049,"mb","3","",9,1,"1","",21,10,10,5,"","6","7","10","7","9","-2","7","6","6","6","0","6","2","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","104901",0
"31",1051,"ea","1","",10,1,"1","",50,10,10,6,"","10","10","10","0","0","0","10","0","0","0","10","10","10","0","10","","","-10","0","0","0","","","","0","0","-3","0","","","","0","0","-1","0","10","0","0","0","0","0","0","0","0","0","105101",0
"33",1054,"st","1","",10,1,"1","",45,10,10,7,"","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105401",0
"34",1055,"dc","3","",8,1,"1","",25,8,8,7,"","10","10","10","10","7","7","10","10","10","5","10","10","10","7","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105501",0
"35",1056,"ms","1","",10,1,"2","",45,8,10,6,"","","5","8","0","0","0","1","0","0","0","10","8","0","0","7","0","0","0","0","0","0","0","0","0","6","0","0","0","10","10","5","0","0","0","0","0","10","10","0","0","0","0","0","0","0","105601",1
"36",1058,"ml","3","",10,1,"1","",21,10,10,5,"","8","0","0","6","0","5","0","0","0","0","-4","-4","4","8","0","7","7","0","6","0","5","10","10","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","0","0","0","0","0","0","0","105801",0
"37",1060,"ms","1","",10,1,"1","",37,10,10,5,"","10","10","10","10","10","10","10","10","10","10","8","8","8","8","10","0","0","0","0","10","0","10","10","10","10","10","10","0","10","10","10","10","10","10","0","10","0","0","0","0","10","0","10","0","0","106001",0
"39",1062,"mp","1","",10,1,"1","",52,10,10,8,"","10","8","9","10","10","10","4","-4","3","-10","10","10","10","10","-3","10","10","10","10","-1","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","1","0","0","0","0","10","10","106201",0
"40",1063,"jh ","1","",10,1,"1","",53,10,10,6,"","","10","10","10","10","10","10","10","10","10","10","10","10","8","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","106301",0
"41",1064,"sl","6","",10,1,"1","",19,10,10,3,"","4","0","10","0","10","8","0","8","6","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","106401",0
"42",1065,"cr","1","",10,2,"1","",50,8,10,8,"","","7","7","9","9","10","6","6","4","4","10","10","0","0","1","10","10","3","10","0","0","5","5","5","4","-5","0","8","3","3","5","4","0","0","7","10","10","10","6","4","0","9","8","7","10","106501",0
"43",1067,"lh","1","",10,3,"1","",41,10,10,5,"","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","106701",0
"44",1068,"va","1","",10,1,"1","",50,10,10,8,"","10","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","106801",0
"45",1069,"tf","1","",10,1,"1","",51,10,10,7,"","10","0","0","10","10","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","106901",0
"46",1071,"jo","1","",10,2,"1","",61,10,10,8,"","10","10","10","10","10","10","0","0","0","0","4","3","0","0","0","10","10","10","10","0","0","10","10","10","10","0","0","10","10","9","10","9","0","0","10","10","9","8","8","8","0","0","10","10","10","107101",0
"47",1073,"si","1","",10,1,"1","",37,10,10,6,"","","10","10","10","9","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","","10","10","10","10","10","10","10","10","10","10","10","9","8","9","9","9","9","10","9","10","107301",0
"48",1075,"ra","1","",7,2,"1","",63,8,8,4,"","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","107501",0
"49",1077,"ar","7","",10,1,"1","",20,8,7,5,"","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","107701",0
"51",1079,"mr","1","",10,1,"1","",42,10,10,8,"","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","107901",0
"52",1081,"cl","1","",8,1,"1","",51,9,8,8,"","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","108101",0
"53",1082,"aw","5","",10,1,"1","",23,10,10,5,"","2","6","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","108201",0
"54",1084,"tm","1","",10,1,"1","",46,10,10,8,"","10","10","8","10","10","8","10","10","8","7","7","5","1","10","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","108401",0
"55",1085,"st","1","",10,1,"1","",45,10,10,7,"","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","108501",0
"56",1087,"ph","1","",10,1,"2","",53,10,10,8,"","","10","10","6","6","4","8","8","3","8","2","2","0","10","8","5","5","2","5","8","-2","10","10","10","3","2","0","1","6","6","4","9","8","7","8","1","7","7","2","6","4","1","5","1","8","108701",1
"57",1088,"jb","1","",8,1,"1","",54,10,10,5,"","-5","2","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","108801",0
"60",1093,"vg","8","academic",10,4,"1","",60,10,10,8,"","3","","","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","109301",0
"61",1094,"tp","3","",10,1,"2","",25,10,10,7,"","","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","109401",1
"62",1095,"kj","1","",10,2,"1","",41,10,7,7,"","10","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","109501",0
"63",1096,"mt","8","academic",-1,5,"1","",45,7,8,8,"","8","0","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","109601",0
"64",1097,"ma","3","",8,1,"1","",24,9,10,7,"","6","9","6","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","109701",0
"65",1100,"jmm","1","",6,2,"1","",44,9,10,5,"","-1","4","7","0","7","7","0","0","0","0","6","6","0","5","0","6","5","7","3","0","0","7","8","7","2","0","0","6","8","7","6","0","0","0","7","7","6","8","10","0","0","0","8","8","3","110001",0
"67",1102,"tka","1","",8,1,"1","",48,4,10,7,"","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","110201",0
"68",1103,"cn","5","",10,1,"2","",19,10,10,5,"","8","5","10","3","10","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","110301",1
"69",1107,"kn","1","",8,1,"1","",49,10,10,4,"","-10","0","0","0","0","10","10","0","0","0","8","5","6","4","0","2","5","0","0","0","0","3","4","0","-1","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","110701",0
"70",1108,"lr","1","",10,1,"1","",53,10,10,5,"","","10","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","110801",0
"72",1118,"mm","8","academic",-2,6,"2","",40,5,10,8,"","-3","-4","10","0","0","0","-2","6","8","0","3","0","0","0","9","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","5","0","0","0","0","10","0","0","0","6","0","0","0","0","0","111801",1
"73",1121,"km","1","",10,1,"1","",NA,9,10,10,"","","10","10","10","10","10","8","8","8","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","112101",0
"74",1122,"ba","1","",4,1,"1","",40,4,4,7,"","-10","","6","4","6","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","112201",0
"75",1126,"rt","1","",10,1,"1","",56,10,10,8,"","10","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","112601",0
"76",1130,"sf","1","",10,1,"1","",51,10,10,7,"","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","113001",0
"77",1131,"bb","1","",10,1,"2","",53,7,10,5,"","2","10","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","113101",1
"78",1132,"ab","1","",8,2,"1","",38,10,10,5,"","10","6","4","9","7","9","9","7","3","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","113201",0
"81",1137,"mom","1","",8,2,"1","",55,8,9,7,"","9","7","7","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","113701",0
"82",1141,"ar","1","",10,2,"1","",52,8,10,7,"","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","114101",0
"83",1143,"lj","1","",10,1,"1","",43,8,10,7,"","","5","5","7","6","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","114301",0
"84",1145,"gb","","",10,1,"1","",19,8,10,4,"","","10","10","10","5","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","114501",0
"86",1149,"dl","1","",10,1,"1","",43,10,8,5,"","","5","5","10","10","0","10","10","0","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","114901",0
"87",1150,"kn","1","",5,1,"1","",50,10,10,5,"","3","3","3","5","","5","4","0","2","1","","","2","0","0","1","7","8","0","4","4","3","10","3","0","0","0","10","1","10","4","0","0","0","","10","0","10","6","0","0","0","3","10","8","115001",0
"88",1151,"ec","1","",10,1,"1","",51,10,10,8,"","","10","10","10","10","0","0","0","9","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","115101",0
"89",1152,"tg","1","",10,1,"1","",50,10,10,6,"","","10","5","10","4","5","-9","2","10","-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","115201",0
"90",1156,"ct","5","",10,1,"2","",19,10,9,5,"","10","10","8","10","8","10","10","10","7","10","10","10","9","6","10","6","2","-7","0","5","0","-10","-10","-10","10","-10","0","-10","6","0","0","0","7","9","0","0","7","10","5","9","0","0","0","0","0","115601",1
"91",1158,"cc","7","",10,1,"1","",19,2,9,4,"","","-6","5","9","4","6","10","0","0","10","10","0","0","8","10","10","0","0","6","10","4","10","6","5","0","0","0","0","10","10","10","4","0","0","0","8","10","10","4","1","0","0","0","8","10","115801",0
"92",1159,"sg","1","",6,2,"1","",49,10,10,8,"","","0","0","2","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","115901",0
"93",1161,"sh","1","",10,1,"1","",46,10,10,5,"","","10","8","10","7","1","9","0","0","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","116101",0
"94",1162,"md","1","",9,1,"1","",51,10,10,6,"","10","5","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","116201",0
"95",1165,"vm","6","",10,1,"1","",20,10,10,5,"","10","4","0","5","0","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","116501",0
"97",1168,"sj","5","",10,2,"2","",18,10,10,5,"","5","0","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","116801",1
"98",1172,"md","1","",10,1,"1","",43,10,10,5,"","","10","10","10","10","10","10","10","9","9","10","10","8","8","0","10","10","10","0","0","10","10","0","2","0","0","10","10","0","0","0","0","0","0","0","0","2","5","2","0","0","0","0","0","0","117201",0
"99",1175,"sb","1","",10,2,"1","",44,10,10,8,"","8","10","10","10","10","10","9","8","-1","0","10","2","10","7","6","10","10","6","5","9","10","1","1","1","9","9","0","8","8","0","0","7","8","0","0","1","8","7","7","-1","5","1","9","8","8","117501",0
"100",1185,"ns","1","",8,2,"2","",60,10,10,7,"","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","118501",1
"101",1186,"ci","1","",9,1,"1","",48,9,10,8,"","8","","","8","8","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","118601",0
"102",1187,"dc","5","",10,1,"2","",19,5,10,4,"","9","10","10","5","7","10","6","8","8","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","118701",1
"103",1189,"jf","1","",10,1,"1","",43,10,10,7,"","","9","9","10","10","7","10","10","10","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","118901",0
"104",1190,"dm","1","",10,1,"2","",52,10,10,7,"","","10","10","6","6","10","0","0","8","7","0","0","6","10","10","6","8","10","10","10","10","6","9","10","10","10","10","10","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","10","119001",1
"105",1191,"hh","1","",6,1,"1","",44,10,10,5,"","2","10","-2","10","10","10","10","10","4","4","6","10","0","0","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","119101",0
"106",1192,"cp","1","",9,2,"1","",49,10,10,8,"","10","10","10","10","10","10","6","6","6","6","10","10","10","10","10","10","10","10","10","10","10","10","10","10","1","10","2","10","10","10","10","10","10","10","10","10","10","10","10","8","10","5","7","10","4","119201",0
"107",1193,"hg","8","academic",10,3,"1","",25,10,10,7,"","2","-4","2","0","0","0","2","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","119301",0
"108",1195,"sm","1","",6,2,"1","",54,8,5,8,"","-5","0","0","0","0","0","5","3","7","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","119501",0
"110",1197,"th","1","",10,1,"2","",51,10,10,9,"","10","10","10","10","10","10","0","4","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","119701",1
"112",1199,"jp","5","",10,1,"2","",18,8,10,4,"","5","4","10","0","10","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","119901",1
"113",1200,"mf","1","",4,2,"1","",42,8,8,7,"","","5","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","120001",0
"114",1201,"chantel lincoln","1","",10,1,"1","",51,10,10,8,"","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","120101",0
"115",1202,"ea","1","",8,1,"1","",39,10,10,7,"","5","10","10","6","10","10","9","10","10","10","10","10","10","10","10","9","8","10","10","10","10","10","10","10","10","10","10","10","6","10","5","8","0","0","8","0","10","10","10","10","10","0","10","10","0","120201",0
