"","egoID","from.alter","to.alter","weight_origin","weight"
"583",2039,"203901","203902",10,10
"584",2041,"204101","204102",4,4
"585",2043,"204301","204302",7,7
"586",2044,"204401","204402",5,5
"587",2045,"204501","204502",4,4
"589",2048,"204801","204802",6,6
"593",2053,"205301","205302",8,8
"595",2055,"205501","205502",10,10
"596",2059,"205901","205902",2,2
"597",2061,"206101","206102",2,2
"598",2064,"206401","206402",10,10
"599",2080,"208001","208002",7,7
"601",2082,"208201","208202",8,8
"602",2084,"208401","208402",10,10
"604",2086,"208601","208602",8,8
"605",2087,"208701","208702",9,9
"608",2090,"209001","209002",6,6
"609",2092,"209201","209202",10,10
"610",2093,"209301","209302",9,9
"611",2094,"209401","209402",10,10
"612",2095,"209501","209502",3,3
"613",2096,"209601","209602",10,10
"615",2098,"209801","209802",7,7
"616",2099,"209901","209902",10,10
"617",2100,"210001","210002",10,10
"618",2101,"210101","210102",10,10
"623",2108,"210801","210802",9,9
"625",2111,"211101","211102",10,10
"626",2112,"211201","211202",10,10
"627",2116,"211601","211602",10,10
"628",2117,"211701","211702",8,8
"629",2119,"211901","211902",7,7
"630",2120,"212001","212002",9,9
"631",2121,"212101","212102",10,10
"634",2124,"212401","212402",5,5
"636",2126,"212601","212602",10,10
"639",2131,"213101","213102",5,5
"640",2133,"213301","213302",5,5
"641",2134,"213401","213402",10,10
"643",2139,"213901","213902",6,6
"644",2140,"214001","214002",10,10
"645",2141,"214101","214102",10,10
"646",2143,"214301","214302",10,10
"647",2144,"214401","214402",3,3
"648",2145,"214501","214502",8,8
"649",2146,"214601","214602",10,10
"652",2149,"214901","214902",5,5
"653",2151,"215101","215102",9,9
"654",2152,"215201","215202",10,10
"655",2153,"215301","215302",3,3
"657",2156,"215601","215602",10,10
"658",2158,"215801","215802",10,10
"661",2161,"216101","216102",9,9
"662",2162,"216201","216202",10,10
"663",2163,"216301","216302",10,10
"664",2165,"216501","216502",10,10
"667",2169,"216901","216902",2,2
"669",2172,"217201","217202",4,4
"670",2173,"217301","217302",7,7
"671",2174,"217401","217402",10,10
"673",2176,"217601","217602",4,4
"674",2177,"217701","217702",8,8
"675",2179,"217901","217902",9,9
"676",2180,"218001","218002",10,10
"677",2182,"218201","218202",8,8
"678",2185,"218501","218502",3,3
"679",2186,"218601","218602",8,8
"683",2192,"219201","219202",8,8
"684",2194,"219401","219402",10,10
"685",2195,"219501","219502",5,5
"687",2199,"219901","219902",10,10
"691",2206,"220601","220602",9,9
"692",2208,"220801","220802",8,8
"694",2210,"221001","221002",2,2
"695",2218,"221801","221802",10,10
"698",2221,"222101","222102",10,10
"700",2224,"222401","222402",8,8
"702",2229,"222901","222902",10,10
"703",2230,"223001","223002",10,10
"705",2233,"223301","223302",10,10
"707",2236,"223601","223602",6,6
"708",2238,"223801","223802",7,7
"710",2240,"224001","224002",7,7
"711",2241,"224101","224102",10,10
"712",2242,"224201","224202",10,10
"713",2244,"224401","224402",10,10
"715",2246,"224601","224602",4,4
"716",2248,"224801","224802",6,6
"718",2250,"225001","225002",2,2
"721",2254,"225401","225402",10,10
"722",2255,"225501","225502",4,4
"725",2265,"226501","226502",10,10
"728",2270,"227001","227002",3,3
"730",2274,"227401","227402",2,2
"733",2279,"227901","227902",7,7
"734",2284,"228401","228402",5,5
"735",2285,"228501","228502",10,10
"736",2287,"228701","228702",10,10
"742",2307,"230701","230702",10,10
"746",2311,"231101","231102",6,6
"748",2314,"231401","231402",2,2
"749",2318,"231801","231802",10,10
"751",2328,"232801","232802",6,6
"752",2330,"233001","233002",10,10
"753",2331,"233101","233102",10,10
"754",2332,"233201","233202",10,10
"755",2333,"233301","233302",10,10
"756",2334,"233401","233402",10,10
"757",2335,"233501","233502",10,10
"760",2338,"233801","233802",10,10
"762",2343,"234301","234302",10,10
"763",2345,"234501","234502",9,9
"765",2348,"234801","234802",6,6
"767",2351,"235101","235102",10,10
"769",2355,"235501","235502",10,10
"771",2358,"235801","235802",1,1
"773",2360,"236001","236002",7,7
"775",2363,"236301","236302",4,4
"776",2366,"236601","236602",8,8
"777",2367,"236701","236702",6,6
"778",2368,"236801","236802",10,10
"779",2371,"237101","237102",6,6
"780",2372,"237201","237202",10,10
"781",2373,"237301","237302",10,10
"782",2374,"237401","237402",9,9
"783",2379,"237901","237902",7,7
"784",2383,"238301","238302",1,1
"786",2386,"238601","238602",8,8
"788",2389,"238901","238902",10,10
"789",2393,"239301","239302",10,10
"790",2395,"239501","239502",10,10
"791",2396,"239601","239602",10,10
"793",2399,"239901","239902",10,10
"794",2400,"240001","240002",10,10
"795",2401,"240101","240102",10,10
"800",2409,"240901","240902",10,10
"802",2412,"241201","241202",10,10
"804",2414,"241401","241402",4,4
"805",2416,"241601","241602",3,3
"806",2417,"241701","241702",2,2
"807",2419,"241901","241902",6,6
"808",2420,"242001","242002",10,10
"810",2422,"242201","242202",10,10
"811",2424,"242401","242402",8,8
"812",2425,"242501","242502",10,10
"814",2427,"242701","242702",10,10
"816",2431,"243101","243102",10,10
"817",2433,"243301","243302",8,8
"819",2438,"243801","243802",4,4
"820",2439,"243901","243902",10,10
"822",2452,"245201","245202",8,8
"825",2455,"245501","245502",10,10
"828",2463,"246301","246302",2,2
"829",2464,"246401","246402",8,8
"830",2466,"246601","246602",10,10
"831",2467,"246701","246702",8,8
"832",2468,"246801","246802",10,10
"833",2469,"246901","246902",2,2
"835",2472,"247201","247202",10,10
"836",2475,"247501","247502",6,6
"837",2476,"247601","247602",9,9
"839",2481,"248101","248102",6,6
"840",2482,"248201","248202",10,10
"841",2483,"248301","248302",10,10
"843",2485,"248501","248502",8,8
"845",2488,"248801","248802",10,10
"847",2490,"249001","249002",9,9
"849",2495,"249501","249502",10,10
"850",2496,"249601","249602",10,10
"853",2503,"250301","250302",10,10
"855",2505,"250501","250502",9,9
"856",2507,"250701","250702",4,4
"857",2508,"250801","250802",10,10
"859",2514,"251401","251402",6,6
"861",2517,"251701","251702",10,10
"862",2518,"251801","251802",8,8
"863",2520,"252001","252002",5,5
"864",2522,"252201","252202",10,10
"867",2528,"252801","252802",10,10
"868",2529,"252901","252902",10,10
"869",2530,"253001","253002",10,10
"870",2531,"253101","253102",5,5
"871",2532,"253201","253202",10,10
"872",2533,"253301","253302",6,6
"873",2535,"253501","253502",10,10
"875",2537,"253701","253702",10,10
"878",2543,"254301","254302",10,10
"879",2545,"254501","254502",10,10
"882",2550,"255001","255002",10,10
"883",2552,"255201","255202",10,10
"885",2554,"255401","255402",10,10
"886",2556,"255601","255602",10,10
"887",2557,"255701","255702",1,1
"888",2559,"255901","255902",10,10
"889",2560,"256001","256002",9,9
"890",2566,"256601","256602",10,10
"892",2569,"256901","256902",10,10
"893",2570,"257001","257002",10,10
"895",2576,"257601","257602",10,10
"899",2582,"258201","258202",1,1
"900",2585,"258501","258502",6,6
"902",2590,"259001","259002",10,10
"904",2594,"259401","259402",10,10
"905",2596,"259601","259602",10,10
"906",2598,"259801","259802",10,10
"907",2600,"260001","260002",8,8
"908",2601,"260101","260102",10,10
"909",2603,"260301","260302",4,4
"910",2605,"260501","260502",10,10
"911",2606,"260601","260602",9,9
"913",2608,"260801","260802",10,10
"916",2616,"261601","261602",10,10
"917",2617,"261701","261702",10,10
"921",2629,"262901","262902",10,10
"923",2631,"263101","263102",4,4
"925",2636,"263601","263602",7,7
"927",2638,"263801","263802",7,7
"929",2641,"264101","264102",4,4
"930",2642,"264201","264202",3,3
"931",2643,"264301","264302",9,9
"932",2644,"264401","264402",10,10
"933",2649,"264901","264902",1,1
"934",2652,"265201","265202",10,10
"935",2653,"265301","265302",3,3
"936",2655,"265501","265502",4,4
"938",2657,"265701","265702",9,9
"939",2662,"266201","266202",2,2
"940",2663,"266301","266302",10,10
"941",2664,"266401","266402",6,6
"942",2666,"266601","266602",10,10
"943",2668,"266801","266802",10,10
"944",2669,"266901","266902",5,5
"946",2672,"267201","267202",6,6
"948",2676,"267601","267602",9,9
"950",2679,"267901","267902",6,6
"951",2681,"268101","268102",6,6
"956",2690,"269001","269002",9,9
"958",2692,"269201","269202",6,6
"959",2694,"269401","269402",4,4
"960",2695,"269501","269502",8,8
"961",2698,"269801","269802",10,10
"962",2699,"269901","269902",4,4
"963",2701,"270101","270102",10,10
"965",2703,"270301","270302",3,3
"966",2705,"270501","270502",10,10
"967",2709,"270901","270902",9,9
"969",1001,"100101","100103",9,9
"971",1005,"100501","100503",10,10
"973",1007,"100701","100703",10,10
"974",1008,"100801","100803",8,8
"975",1009,"100901","100903",10,10
"976",1012,"101201","101203",5,5
"979",1018,"101801","101803",10,10
"980",1019,"101901","101903",10,10
"981",1020,"102001","102003",6,6
"982",1023,"102301","102303",8,8
"983",1025,"102501","102503",10,10
"986",1029,"102901","102903",8,8
"987",1030,"103001","103003",2,2
"988",1031,"103101","103103",10,10
"991",1038,"103801","103803",6,6
"992",1039,"103901","103903",10,10
"994",1041,"104101","104103",10,10
"995",1043,"104301","104303",10,10
